Name,Period,Type,id_compare,mag_3p6,err_3p6,amp_3p6,mag_4p5,err_4p5,amp_4p5,rad,HIP,TYC2,SolID,Source,RandomI,Epoch,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NgAC,NbAL,NbAC,DQ,epsi,sepsi,APF,ARF,WAL,WAC,Apr,MatchObs,Dup,sK1,sK2,sK3,sK4,mK1,mK2,mK3,mK4,o_<Gmag>,<FG>,e_<FG>,<Gmag>,Var,GLON,GLAT,ELON,ELAT,A_3p6,A_4p5,Z,log_P,log_P_f
SWDra,0.57,ab,swdra,9.306,0.004,0.257,9.288,0.004,0.275,0.0072,59946.0,,1635378410781933568,1683444626742055168,1692281,2015.0,184.443965372,0.202,69.5105901138,0.19,1.01,0.23,-26.798,0.122,-7.339,0.116,0.2,-0.191,-0.012,0.068,-0.44,0.006,0.076,0.056,-0.165,0.042,88,88,86,85,2,3,5.25,0.4,270.0,1,4.03,5.44,2.78e-05,3,15,0,0.068,0.22,0.129,0.161,-158.69533,-22.238434,-10.274068,-21.710434,104,1084770.03845,17887.32459,10.436,,127.266877965,47.3333205131,135.103094582,60.4851395801,0.003,0.002,-1.12,-0.244125144328,-0.244125144328
SXUma,0.307,c,sxuma,10.077,0.002,0.107,10.066,0.002,0.11,0.0171,65547.0,,1635378410781933568,1565435486842373632,734271,2015.0,201.555572152,0.205,56.2569641051,0.422,0.42,0.34,-67.756,0.073,1.231,0.078,0.017,0.328,0.076,0.015,0.045,0.049,0.223,0.054,-0.009,0.076,68,68,68,63,0,5,0.93,0.81,310.0,1,7.91,1.441,3.44e-05,3,8,1,0.553,0.603,0.492,0.538,-115.862526,89.33244,27.376331,-0.2923373,70,706389.50829,11325.04683,10.902,,113.200103593,60.2092078701,164.473875049,57.5755684859,0.002,0.002,-1.81,-0.512861624523,-0.385861624523
TTLyn,0.597,ab,ttlyn,8.587,0.003,0.221,8.574,0.003,0.249,0.0238,44428.0,,1635378410781933568,1009665138191506432,1520566,2015.0,135.781952974,0.255,44.585411912,0.268,1.53,0.4,-83.87,0.094,-42.512,0.08,-0.559,-0.47,0.012,-0.09,0.005,-0.09,0.149,0.033,-0.012,-0.434,97,97,97,93,0,4,2.23,0.79,490.0,1,7.77,1.526,2.68e-05,3,21,1,0.559,0.651,0.506,0.483,-132.74022,52.326706,0.37336388,-31.939205,164,1983125.97539,19610.48467,9.781,,176.070031999,41.6508500468,124.781215749,26.5178543241,0.003,0.003,-1.56,-0.224025668871,-0.224025668871
TUUma,0.558,ab,tuuma,8.623,0.004,0.293,8.609,0.004,0.282,0.0224,56088.0,,1635378410781933568,4022618712476736896,2029687,2015.0,172.45170636,0.204,30.0671048305,0.34,1.47,0.31,-70.006,0.08,-53.699,0.072,-0.34,0.3,0.065,-0.009,-0.538,-0.017,0.1,0.123,-0.111,-0.352,62,62,62,61,0,1,8.49,0.64,330.0,1,6.31,2.278,2.53e-05,3,7,0,0.344,0.427,0.289,0.957,-52.976906,75.839874,-15.374295,-20.629862,62,2697764.29625,46793.14435,9.447,,198.789484058,71.8678133624,160.512832366,24.4846783943,0.004,0.003,-1.51,-0.253365801062,-0.253365801062
TVBoo,0.313,c,tvboo,10.198,0.002,0.133,10.181,0.002,0.138,0.0082,69759.0,,1635378410781933568,1492230552420859776,1419740,2015.0,214.15239926,0.156,42.3597795226,0.169,0.76,0.23,-4.133,0.12,-33.75,0.144,0.004,0.304,-0.055,0.028,-0.053,0.114,0.055,-0.035,-0.221,0.162,193,193,192,186,1,7,3.83,0.53,460.0,1,5.28,3.251,2.81e-05,3,28,1,0.331,0.121,0.182,0.582,3.9417298,-85.65797,39.4277,30.617321,215,702079.31472,7271.70862,10.909,,79.7296023269,66.923036909,190.432090348,51.5540580863,0.002,0.001,-2.44,-0.504455662454,-0.377455662454
TWHer,0.4,ab,twher,10.239,0.004,0.304,10.213,0.005,0.358,0.0016,87681.0,,1635378410781933568,4596935588904631040,1477358,2015.0,268.63001986,0.244,30.4104564167,0.263,0.65,0.31,3.819,0.091,-2.538,0.1,0.121,0.148,0.068,-0.023,-0.202,0.005,-0.001,-0.043,-0.048,0.016,92,92,92,89,0,3,5.96,0.88,640.0,1,8.61,1.228,2.94e-05,3,15,1,0.192,0.192,0.089,0.445,-40.59366,-56.418575,26.377253,35.76562,105,482125.38964,10666.7416,11.317,,55.8736085737,24.8018825599,267.997395936,53.8402142635,0.008,0.006,-0.69,-0.397940008672,-0.397940008672
UUVir,0.476,ab,uuvir,9.492,0.004,0.308,9.483,0.004,0.299,0.0109,59208.0,inf,1635378410781933568,3698723752532514816,566683,2015.0,182.145053546,0.258,-0.486667708,0.176,1.35,0.32,-52.692,0.142,-2.382,0.12,-0.981,-0.957,-0.984,0.03,-0.482,0.012,-0.955,0.148,-0.979,-0.992,134,134,132,129,0,3,3.55,0.37,190.0,1,3.68,3.22,2.56e-05,3,15,1,0.322,0.75,0.161,0.35,12.3258705,29.816698,8.212686,28.962017,132,861908.27576,1688.20603,10.054,,280.714314031,60.5246474944,182.150622277,0.4065288364,0.003,0.003,-0.87,-0.32239304728,-0.32239304728
UVOct,0.543,ab,uvoct,8.182,0.004,0.244,8.17,0.004,0.247,0.0331,80990.0,,1635378410781933568,5768557209320424320,1708452,2015.0,248.104106151,0.21,-83.9034179411,0.192,2.02,0.23,-58.107,0.081,-120.279,0.09,0.303,-0.03,0.096,0.002,0.196,0.026,-0.002,-0.073,0.124,-0.008,98,98,97,97,1,1,7.14,0.41,190.0,1,4.13,5.472,2.12e-05,3,16,0,0.041,0.344,0.167,0.349,61.76069,-35.401703,50.245968,0.30704412,137,2544041.65964,26235.48072,9.511,,308.393809451,-23.5482330147,265.340463858,-60.8202900448,0.018,0.015,-1.74,-0.265200170411,-0.265200170411
UYBoo,0.651,ab,uyboo,9.725,0.003,0.227,9.7,0.004,0.268,0.0117,68292.0,,1635378410781933568,3727833391597367424,33674,2015.0,209.693080257,0.228,12.9515992356,0.129,0.21,0.26,2.315,0.128,-46.719,0.091,0.336,-0.682,-0.038,0.123,-0.358,0.039,0.014,0.036,-0.128,-0.176,79,79,79,76,0,3,0.41,0.35,100.0,1,3.57,7.023,2.06e-05,3,11,0,0.345,0.407,0.486,0.823,-82.08022,-13.419786,-10.811935,-25.619791,77,717057.2743,16472.72472,10.886,,354.261006001,68.8087939417,202.678488386,23.4320362764,0.007,0.006,-2.56,-0.186419011432,-0.186419011432
V440Sgr,0.477,ab,v440sgr,9.04,0.004,0.322,9.023,0.004,0.311,0.0138,96101.0,,1635378410781933568,6771307450164337920,384229,2015.0,293.086573775,0.107,-23.8537730654,0.357,1.28,0.42,-4.426,0.135,-55.186,0.093,-0.141,0.304,-0.196,-0.195,-0.956,0.231,0.012,-0.301,-0.081,0.46,44,44,44,44,0,0,0.04,0.23,68.0,1,2.42,15.348,3.09e-05,3,6,1,0.797,0.583,0.85,0.932,-63.5113,-46.663185,-44.335384,39.962757,53,1127844.84268,23952.65527,10.394,,15.3112357118,-19.2033162504,291.03047104,-2.0842876019,0.017,0.014,-1.4,-0.32148162096,-0.32148162096
VXHer,0.455,ab,vxher,9.601,0.005,0.332,9.58,0.004,0.322,0.0132,80853.0,,1635378410781933568,4467433013440949376,569534,2015.0,247.669786596,0.154,18.3669089262,0.145,0.9,0.24,-51.064,0.16,20.053,0.133,-0.098,0.057,0.079,-0.04,-0.243,-0.093,-0.025,-0.078,-0.049,0.53,113,113,111,111,2,2,5.39,0.41,220.0,1,4.08,5.353,2.67e-05,3,15,0,0.668,0.068,0.399,0.198,-115.19148,17.320385,-50.637856,13.301031,121,747925.85959,14256.28408,10.84,,35.2240806468,39.0826351932,242.06771379,39.6654028668,0.009,0.007,-1.58,-0.341988603343,-0.341988603343
VInd,0.48,ab,vind,8.852,0.004,0.281,8.834,0.004,0.28,0.0283,104613.0,inf,1635378410781933568,6483680156140459904,964906,2015.0,317.845586287,0.164,-45.1004617974,0.153,1.1,0.27,-72.969,0.104,-84.518,0.079,0.193,0.351,-0.651,-0.573,-0.097,-0.17,-0.296,-0.816,-0.767,0.379,92,92,91,90,0,2,3.52,0.55,230.0,1,5.46,2.692,2.64e-05,3,14,0,0.319,0.3,0.416,0.582,-65.46152,-54.71334,54.059296,28.22931,104,231727.21046,91.24625,10.043,,355.300128645,-43.1155052317,306.145786478,-27.4811100242,0.009,0.007,-1.5,-0.318758762624,-0.318758762624
WYAnt,0.574,ab,wyant,9.569,0.004,0.261,9.552,0.004,0.279,0.0155,50289.0,,1635378410781933568,5461994297841116160,952597,2015.0,154.020782442,0.155,-29.7286584491,0.166,0.83,0.23,35.91,0.145,-50.202,0.14,-0.205,-0.126,-0.192,0.106,-0.373,0.046,0.134,0.227,0.011,-0.16,129,129,129,125,0,4,0.2,0.37,230.0,1,3.68,6.667,2.92e-05,3,21,0,0.367,0.299,0.221,0.139,23.121462,44.768208,29.281757,39.698048,153,792180.38307,9559.62099,10.778,,266.939253431,22.0778313995,168.999521313,-37.3212811752,0.012,0.01,-1.48,-0.241088107602,-0.241088107602
XZCyg,0.467,ab,xzcyg,8.657,0.003,0.225,8.641,0.004,0.237,0.0221,96112.0,,1635378410781933568,2142052885197472000,239647,2015.0,293.122744699,0.235,56.3880918751,0.221,1.56,0.23,84.304,0.096,-24.485,0.101,-0.335,-0.297,0.062,-0.057,0.088,-0.079,0.019,-0.117,-0.036,0.03,71,71,71,70,0,1,3.98,0.4,250.0,1,3.98,5.708,2.58e-05,3,8,1,0.232,0.294,0.223,0.206,-131.42772,43.842903,-12.673983,39.12332,69,1860679.28715,37945.40233,9.851,,88.214995151,16.9757637395,328.004579097,75.1479284614,0.023,0.019,-1.44,-0.330683119434,-0.330683119434
XAri,0.651,ab,xari,7.888,0.004,0.289,7.862,0.004,0.3,0.0279,14601.0,,1635378410781933568,15489404416044288,1597308,2015.0,47.1289683176,0.207,10.4455227543,0.156,2.02,0.22,66.587,0.159,-89.168,0.147,-0.104,-0.1,-0.122,-0.1,-0.409,-0.067,-0.142,-0.15,-0.12,0.518,101,101,99,98,2,3,0.41,0.32,150.0,1,3.28,8.554,2.14e-05,3,12,0,0.315,0.451,0.422,0.846,-137.39365,15.030255,-38.74773,26.27523,101,2482195.29369,34225.02448,9.538,,169.083271593,-39.8385039734,47.6254431627,-6.912555575,0.037,0.031,-2.43,-0.186419011432,-0.186419011432
YZCap,0.273,c,yzcap,10.338,0.001,0.093,10.321,0.001,0.098,0.0055,105285.0,,1635378410781933568,6884361743993904768,1587109,2015.0,319.884991789,0.263,-15.1170622829,0.287,0.53,0.29,-14.76,0.164,-18.875,0.1,0.448,0.074,-0.01,0.035,-0.008,0.022,0.096,-0.152,-0.035,0.328,61,61,61,58,0,3,2.21,0.68,460.0,1,6.71,2.03,3.01e-05,3,9,0,0.142,0.453,0.138,0.929,-35.306313,-50.522884,-42.765327,31.904064,78,534950.43396,8475.70636,11.204,,35.3818466339,-39.5161646711,317.587916723,0.4673096307,0.012,0.01,-1.06,-0.563837352959,-0.436837352959
